,target_id,dec_hh,hh_2044,hh_annual_change,hh_2050
0,1,60953,94602,1402.0416666666667,103014.25
1,2,345627,455306,4569.958333333333,482725.75
2,3,27057,38284,467.7916666666667,41090.75
3,4,12006,17341,222.29166666666666,18674.75
4,5,19874,26972,295.75,28746.5
5,6,36016,46622,441.9166666666667,49273.5
6,7,16432,19481,127.04166666666667,20243.25
7,8,47055,56612,398.2083333333333,59001.25
8,9,38046,50572,521.9166666666666,53703.5
9,10,29693,49295,816.75,54195.5
10,11,41467,57740,678.0416666666666,61808.25
11,12,11093,16859,240.25,18300.5
12,13,8168,14430,260.9166666666667,15995.5
13,14,12421,16194,157.20833333333334,17137.25
14,15,8325,9267,39.25,9502.5
15,16,9270,12185,121.45833333333333,12913.75
16,17,5332,6195,35.958333333333336,6410.75
17,18,9927,11314,57.791666666666664,11660.75
18,19,5132,6505,57.208333333333336,6848.25
19,20,7595,9011,59.0,9365.0
20,22,2640,2758,4.916666666666667,2787.5
21,23,8736,9368,26.333333333333332,9526.0
22,24,6311,7019,29.5,7196.0
23,25,23139,35909,532.0833333333334,39101.5
24,26,5468,7609,89.20833333333333,8144.25
25,27,1013,1178,6.875,1219.25
26,28,106,115,0.375,117.25
27,29,1729,4489,115.0,5179.0
28,30,770,1556,32.75,1752.5
29,31,1020,1063,1.7916666666666667,1073.75
30,32,7005,11115,171.25,12142.5
31,33,2702,3527,34.375,3733.25
32,34,5091,6140,43.708333333333336,6402.25
33,35,173,179,0.25,180.5
34,36,9218,10728,62.916666666666664,11105.5
35,37,1015,1102,3.625,1123.75
36,38,661,715,2.25,728.5
37,39,2673,2868,8.125,2916.75
38,40,2775,4505,72.08333333333333,4937.5
39,41,2381,2517,5.666666666666667,2551.0
40,42,21895,23703,75.33333333333333,24155.0
41,43,86,159,3.0416666666666665,177.25
42,44,4552,5989,59.875,6348.25
43,45,387,406,0.7916666666666666,410.75
44,46,64,82,0.75,86.5
45,48,3,5,0.08333333333333333,5.5
46,49,36,370,13.916666666666666,453.5
47,51,76,113,1.5416666666666667,122.25
48,52,163,172,0.375,174.25
49,53,643,1090,18.625,1201.75
50,57,2,4,0.08333333333333333,4.5
51,58,287,427,5.833333333333333,462.0
52,60,945,1056,4.625,1083.75
53,61,177,377,8.333333333333334,427.0
54,62,4561,4579,0.75,4583.5
55,64,41139,45318,174.125,46362.75
56,65,16772,26743,415.4583333333333,29235.75
57,67,4146,5570,59.333333333333336,5926.0
58,68,8035,12753,196.58333333333334,13932.5
59,69,10157,12646,103.70833333333333,13268.25
60,70,1105,2794,70.375,3216.25
61,71,5840,10370,188.75,11502.5
62,72,5812,7524,71.33333333333333,7952.0
63,73,4891,7128,93.20833333333333,7687.25
64,74,189,602,17.208333333333332,705.25
65,75,9041,11456,100.625,12059.75
66,76,38314,42583,177.875,43650.25
67,77,87328,134475,1964.4583333333333,146261.75
68,78,3750,4060,12.916666666666666,4137.5
69,79,25506,33881,348.9583333333333,35974.75
70,80,17037,25064,334.4583333333333,27070.75
71,81,13944,18062,171.58333333333334,19091.5
72,82,3654,5822,90.33333333333333,6364.0
73,83,4139,5217,44.916666666666664,5486.5
74,84,2832,3784,39.666666666666664,4022.0
75,86,4317,6659,97.58333333333333,7244.5
76,85,56428,74651,759.2916666666666,79206.75
77,87,6982,9047,86.04166666666667,9563.25
78,88,1851,3163,54.666666666666664,3491.0
79,89,235,270,1.4583333333333333,278.75
80,90,1054,1422,15.333333333333334,1514.0
81,91,4668,7296,109.5,7953.0
82,92,5167,6411,51.833333333333336,6722.0
83,93,2864,3275,17.125,3377.75
84,94,2916,3247,13.791666666666666,3329.75
85,95,19,20,0.041666666666666664,20.25
86,96,293,404,4.625,431.75
87,97,483,728,10.208333333333334,789.25
88,98,145,169,1.0,175.0
89,99,2797,3150,14.708333333333334,3238.25
90,100,173,251,3.25,270.5
91,107,24725,33438,363.0416666666667,35616.25
92,124,59238,65470,259.6666666666667,67028.0
93,125,44841,76980,1339.125,85014.75
94,126,7143,12715,232.16666666666666,14108.0
95,127,15400,26915,479.7916666666667,29793.75
96,128,7365,13563,258.25,15112.5
97,130,18492,25456,290.1666666666667,27197.0
98,136,24889,37065,507.3333333333333,40109.0
99,138,8706,10883,90.70833333333333,11427.25
100,140,8765,15090,263.5416666666667,16671.25
101,141,8389,10100,71.29166666666667,10527.75
102,129,11817,16432,192.29166666666666,17585.75
103,131,1565,2022,19.041666666666668,2136.25
104,132,17137,24572,309.7916666666667,26430.75
105,135,13875,22766,370.4583333333333,24988.75
106,139,17477,23169,237.16666666666666,24592.0
107,142,5315,8552,134.875,9361.25
108,133,1734,3867,88.875,4400.25
109,143,2377,2713,14.0,2797.0
110,144,607,775,7.0,817.0
111,145,865,1006,5.875,1041.25
112,146,1530,2377,35.291666666666664,2588.75
113,147,72,85,0.5416666666666666,88.25
114,148,13195,17350,173.125,18388.75
115,149,5970,7594,67.66666666666667,8000.0
116,150,4175,5586,58.791666666666664,5938.75
117,151,2788,4186,58.25,4535.5
118,152,1815,3222,58.625,3573.75
119,153,457,541,3.5,562.0
120,155,169,278,4.541666666666667,305.25
121,156,629,715,3.5833333333333335,736.5
122,157,35,77,1.75,87.5
123,158,324,358,1.4166666666666667,366.5
124,159,56,134,3.25,153.5
125,161,633,769,5.666666666666667,803.0
126,164,55,58,0.125,58.75
127,166,536,712,7.333333333333333,756.0
128,167,8,12,0.16666666666666666,13.0
129,170,498,677,7.458333333333333,721.75
130,172,52,174,5.083333333333333,204.5
131,174,16,83,2.7916666666666665,99.75
132,175,0,114,4.75,142.5
133,162,3852,5462,67.08333333333333,5864.5
134,169,5218,6962,72.66666666666667,7398.0
135,163,58,220,6.75,260.5
136,168,1,21,0.8333333333333334,26.0
137,176,37466,43281,242.29166666666666,44734.75
